N,City,Period
1,Akko,Hellenistic
2,Akko,Hellenistic
3,Ptolemais,Hellenistic
4,Antiochy,Hellenistic
5,Antiochy,Roman
6,Ashkelon,Hellenistic
7,Ashkelon,Hellenistic
8,Ashkelon,Roman
9,Caesarea,Roman
10,Caesarea,Roman
11,Caesarea,Roman
12,Caesarea,Roman
13,Caesarea,Roman
14,Constantinople,Roman
15,Gadara,Hellenistic
16,Gadara,Hellenistic
17,Jerusalem,Hellenistic
18,Jerusalem,Hellenistic
19,Jerusalem,Hellenistic
20,Jerusalem,Hellenistic
21,Jerusalem,Hellenistic
22,Jerusalem,Hellenistic
23,Jerusalem,Hellenistic
24,Jerusalem,Hellenistic
25,Jerusalem,Hellenistic
26,Jerusalem,Hellenistic
27,Jerusalem,Hellenistic
28,Jerusalem,Hellenistic
29,Jerusalem,Hellenistic
30,Jerusalem,Hellenistic
31,Jerusalem,Hellenistic
32,Jerusalem,Hellenistic
33,Jerusalem,Hellenistic
34,Jerusalem,Hellenistic
35,Jerusalem,Hellenistic
36,Jerusalem,Hellenistic
37,Jerusalem,Hellenistic
38,Jerusalem,Hellenistic
39,Jerusalem,Hellenistic
40,Jerusalem,Hellenistic
41,Jerusalem,Hellenistic
42,Jerusalem,Hellenistic
43,Jerusalem,Hellenistic
44,Jerusalem,Hellenistic
45,Jerusalem,Hellenistic
46,Jerusalem,Hellenistic
47,Jerusalem,Hellenistic
48,Jerusalem,Hellenistic
49,Jerusalem,Hellenistic
50,Jerusalem,Hellenistic
51,Jerusalem,Hellenistic
52,Jerusalem,Hellenistic
53,Jerusalem,Hellenistic
54,Jerusalem,Hellenistic
55,Jerusalem,Hellenistic
56,Jerusalem,Hellenistic
57,Jerusalem,Hellenistic
58,Jerusalem,Hellenistic
59,Jerusalem,Hellenistic
60,Jerusalem,Hellenistic
61,Jerusalem,Hellenistic
62,Jerusalem,Hellenistic
63,Jerusalem,Hellenistic
64,Jerusalem,Hellenistic
65,Jerusalem,Hellenistic
66,Jerusalem,Hellenistic
67,Jerusalem,Hellenistic
68,Jerusalem,Hellenistic
69,Jerusalem,Hellenistic
70,Jerusalem,Hellenistic
71,Jerusalem,Hellenistic
72,Jerusalem,Hellenistic
73,Jerusalem,Hellenistic
74,Jerusalem,Hellenistic
75,Jerusalem,Hellenistic
76,Jerusalem,Hellenistic
77,Jerusalem,Hellenistic
78,Jerusalem,Hellenistic
79,Jerusalem,Hellenistic
80,Jerusalem,Hellenistic
81,Jerusalem,Hellenistic
82,Jerusalem,Hellenistic
83,Jerusalem,Hellenistic
84,Jerusalem,Hellenistic
85,Jerusalem,Hellenistic
86,Jerusalem,Hellenistic
87,Jerusalem,Hellenistic
88,Jerusalem,Hellenistic
89,Jerusalem,Hellenistic
90,Jerusalem,Hellenistic
91,Jerusalem,Hellenistic
92,Jerusalem,Hellenistic
93,Jerusalem,Hellenistic
94,Jerusalem,Hellenistic
95,Jerusalem,Hellenistic
96,Jerusalem,Hellenistic
97,Jerusalem,Hellenistic
98,Jerusalem,Hellenistic
99,Jerusalem,Hellenistic
100,Jerusalem,Hellenistic
101,Jerusalem,Hellenistic
102,Jerusalem,Hellenistic
103,Jerusalem,Hellenistic
104,Jerusalem,Hellenistic
105,Jerusalem,Hellenistic
106,Jerusalem,Hellenistic
107,Jerusalem,Hellenistic
108,Jerusalem,Hellenistic
109,Jerusalem,Hellenistic
110,Jerusalem,Hellenistic
111,Jerusalem,Hellenistic
112,Jerusalem,Roman
113,Jerusalem,Roman
114,Jerusalem,Roman
115,Jerusalem,Roman
116,Jerusalem,Roman
117,Jerusalem,Roman
118,Jerusalem,Roman
119,Jerusalem,Roman
120,Jerusalem,Roman
121,Jerusalem,Roman
122,Jerusalem,Roman
123,Jerusalem,Roman
124,Jerusalem,Roman
125,Jerusalem,Roman
126,Jerusalem,Roman
127,Jerusalem,Roman
128,Jerusalem,Roman
129,Jerusalem,Roman
130,Jerusalem,Roman
131,Jerusalem,Roman
132,Jerusalem,Roman
133,Jerusalem,Roman
134,Jerusalem,Roman
135,Jerusalem,Roman
136,Jerusalem,Roman
137,Jerusalem,Roman
138,Jerusalem,Roman
139,Jerusalem,Roman
140,Jerusalem,Roman
141,Jerusalem,Roman
